Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,Hallspannung,,Längsspannung,,Temperatur,
2025-05-02,16:17:10.195303,1746195430.195303,s,345.133063,s,38.3828125,mV,1.4785000085830688,V,58.0625,°C
2025-05-02,16:17:15.227386,1746195435.227386,s,350.165146,s,38.5078125,mV,1.4756250381469727,V,57.587501525878906,°C
2025-05-02,16:17:20.198838,1746195440.198838,s,355.136598,s,38.6328125,mV,1.472749948501587,V,57.13750076293945,°C
2025-05-02,16:17:25.230540,1746195445.23054,s,360.1683,s,38.734375,mV,1.4698749780654907,V,56.6875,°C
2025-05-02,16:17:30.203173,1746195450.203173,s,365.140933,s,38.8359375,mV,1.4670000076293945,V,56.26250076293945,°C
2025-05-02,16:17:35.233959,1746195455.233959,s,370.171719,s,38.9296875,mV,1.4642499685287476,V,55.837501525878906,°C
2025-05-02,16:17:40.206026,1746195460.206026,s,375.143786,s,39.015625,mV,1.4615000486373901,V,55.412498474121094,°C
2025-05-02,16:17:45.237188,1746195465.237188,s,380.174948,s,39.1015625,mV,1.4587500095367432,V,55.01250076293945,°C
2025-05-02,16:17:50.207067,1746195470.207067,s,385.144827,s,39.1796875,mV,1.456125020980835,V,54.625,°C
2025-05-02,16:17:55.241373,1746195475.241373,s,390.179133,s,39.25,mV,1.4535000324249268,V,54.25,°C
2025-05-02,16:18:00.208294,1746195480.208294,s,395.146054,s,39.3203125,mV,1.4507499933242798,V,53.88750076293945,°C
2025-05-02,16:18:05.242790,1746195485.24279,s,400.18055,s,39.3828125,mV,1.4482500553131104,V,53.525001525878906,°C
2025-05-02,16:18:10.209833,1746195490.209833,s,405.147593,s,39.4453125,mV,1.4457499980926514,V,53.162498474121094,°C
2025-05-02,16:18:15.243871,1746195495.243871,s,410.181631,s,39.5,mV,1.4432499408721924,V,52.82500076293945,°C
2025-05-02,16:18:20.213603,1746195500.213603,s,415.151363,s,39.5546875,mV,1.4408750534057617,V,52.5,°C
