Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,,
2025-03-21,14:29:50.439776,1742563790.439776,s,33.818127,s,9749,
2025-03-21,14:29:50.690371,1742563790.690371,s,34.068722,s,9883,
2025-03-21,14:29:50.940709,1742563790.940709,s,34.31906,s,9969,
2025-03-21,14:29:51.191128,1742563791.191128,s,34.569479,s,10090,
2025-03-21,14:29:51.441725,1742563791.441725,s,34.820076,s,10167,
2025-03-21,14:29:51.691591,1742563791.691591,s,35.069942,s,10259,
2025-03-21,14:29:51.942731,1742563791.942731,s,35.321082,s,10321,
2025-03-21,14:29:52.192251,1742563792.192251,s,35.570602,s,10406,
2025-03-21,14:29:52.443721,1742563792.443721,s,35.822072,s,10461,
2025-03-21,14:29:52.692664,1742563792.692664,s,36.071015,s,10540,
2025-03-21,14:29:52.944725,1742563792.944725,s,36.323076,s,10593,
2025-03-21,14:29:53.193527,1742563793.193527,s,36.571878,s,10653,
2025-03-21,14:29:53.445581,1742563793.445581,s,36.823932,s,10691,
2025-03-21,14:29:53.694537,1742563793.694537,s,37.072888,s,10755,
2025-03-21,14:29:53.946533,1742563793.946533,s,37.324884,s,10780,
2025-03-21,14:29:54.195536,1742563794.195536,s,37.573887,s,10848,
2025-03-21,14:29:54.447312,1742563794.447312,s,37.825663,s,10884,
2025-03-21,14:29:54.696490,1742563794.69649,s,38.074841,s,10949,
2025-03-21,14:29:54.948042,1742563794.948042,s,38.326393,s,10965,
2025-03-21,14:29:55.197355,1742563795.197355,s,38.575706,s,11030,
2025-03-21,14:29:55.449060,1742563795.44906,s,38.827411,s,11054,
2025-03-21,14:29:55.698504,1742563795.698504,s,39.076855,s,11097,
2025-03-21,14:29:55.950038,1742563795.950038,s,39.328389,s,11137,
2025-03-21,14:29:56.199405,1742563796.199405,s,39.577756,s,11175,
2025-03-21,14:29:56.451077,1742563796.451077,s,39.829428,s,11211,
2025-03-21,14:29:56.700458,1742563796.700458,s,40.078809,s,11247,
2025-03-21,14:29:56.951887,1742563796.951887,s,40.330238,s,11275,
2025-03-21,14:29:57.201458,1742563797.201458,s,40.579809,s,11318,
2025-03-21,14:29:57.452850,1742563797.45285,s,40.831201,s,11347,
2025-03-21,14:29:57.702504,1742563797.702504,s,41.080855,s,11384,
2025-03-21,14:29:57.953938,1742563797.953938,s,41.332289,s,11424,
2025-03-21,14:29:58.203422,1742563798.203422,s,41.581773,s,11448,
2025-03-21,14:29:58.455016,1742563798.455016,s,41.833367,s,11483,
2025-03-21,14:29:58.704276,1742563798.704276,s,42.082627,s,11518,
2025-03-21,14:29:58.955926,1742563798.955926,s,42.334277,s,11542,
2025-03-21,14:29:59.205172,1742563799.205172,s,42.583523,s,11572,
2025-03-21,14:29:59.456848,1742563799.456848,s,42.835199,s,11599,
2025-03-21,14:29:59.706075,1742563799.706075,s,43.084426,s,11634,
2025-03-21,14:29:59.957595,1742563799.957595,s,43.335946,s,11658,
2025-03-21,14:30:00.207002,1742563800.207002,s,43.585353,s,11700,
2025-03-21,14:30:00.458984,1742563800.458984,s,43.837335,s,11719,
2025-03-21,14:30:00.707799,1742563800.707799,s,44.08615,s,11763,
2025-03-21,14:30:00.959981,1742563800.959981,s,44.338332,s,11778,
2025-03-21,14:30:01.208729,1742563801.208729,s,44.58708,s,11821,
2025-03-21,14:30:01.461148,1742563801.461148,s,44.839499,s,11835,
2025-03-21,14:30:01.709707,1742563801.709707,s,45.088058,s,11875,
2025-03-21,14:30:01.962306,1742563801.962306,s,45.340657,s,11887,
2025-03-21,14:30:02.210654,1742563802.210654,s,45.589005,s,11920,
2025-03-21,14:30:02.463430,1742563802.46343,s,45.841781,s,11945,
2025-03-21,14:30:02.711569,1742563802.711569,s,46.08992,s,11981,
2025-03-21,14:30:02.964526,1742563802.964526,s,46.342877,s,12007,
2025-03-21,14:30:03.212497,1742563803.212497,s,46.590848,s,12031,
2025-03-21,14:30:03.465565,1742563803.465565,s,46.843916,s,12048,
2025-03-21,14:30:03.713527,1742563803.713527,s,47.091878,s,12083,
2025-03-21,14:30:03.966540,1742563803.96654,s,47.344891,s,12100,
