Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,,
2024-12-11,14:48:34.970444,1733924914.970444,s,27.307468,s,71.0,°C
2024-12-11,14:48:35.218637,1733924915.218637,s,27.555661,s,71.0,°C
2024-12-11,14:48:35.471421,1733924915.471421,s,27.808445,s,71.0,°C
2024-12-11,14:48:35.719734,1733924915.719734,s,28.056758,s,71.0,°C
2024-12-11,14:48:35.972747,1733924915.972747,s,28.309771,s,71.0,°C
2024-12-11,14:48:36.220702,1733924916.220702,s,28.557726,s,71.0,°C
2024-12-11,14:48:36.473762,1733924916.473762,s,28.810786,s,71.0,°C
2024-12-11,14:48:36.721733,1733924916.721733,s,29.058757,s,71.0,°C
2024-12-11,14:48:36.974820,1733924916.97482,s,29.311844,s,71.0,°C
2024-12-11,14:48:37.222801,1733924917.222801,s,29.559825,s,71.0,°C
2024-12-11,14:48:37.475770,1733924917.47577,s,29.812794,s,71.0,°C
2024-12-11,14:48:37.724171,1733924917.724171,s,30.061195,s,71.0,°C
2024-12-11,14:48:37.976984,1733924917.976984,s,30.314008,s,71.0,°C
2024-12-11,14:48:38.225179,1733924918.225179,s,30.562203,s,71.0,°C
2024-12-11,14:48:38.477963,1733924918.477963,s,30.814987,s,71.0,°C
2024-12-11,14:48:38.726259,1733924918.726259,s,31.063283,s,71.0,°C
2024-12-11,14:48:38.978782,1733924918.978782,s,31.315806,s,71.0,°C
2024-12-11,14:48:39.227386,1733924919.227386,s,31.56441,s,71.0,°C
2024-12-11,14:48:39.479739,1733924919.479739,s,31.816763,s,71.0,°C
2024-12-11,14:48:39.728411,1733924919.728411,s,32.065435,s,71.0,°C
2024-12-11,14:48:39.980625,1733924919.980625,s,32.317649,s,71.0,°C
2024-12-11,14:48:40.229347,1733924920.229347,s,32.566371,s,71.0,°C
2024-12-11,14:48:40.481611,1733924920.481611,s,32.818635,s,71.0,°C
2024-12-11,14:48:40.730437,1733924920.730437,s,33.067461,s,71.0,°C
2024-12-11,14:48:40.982771,1733924920.982771,s,33.319795,s,71.0,°C
2024-12-11,14:48:41.231508,1733924921.231508,s,33.568532,s,71.0,°C
2024-12-11,14:48:41.484237,1733924921.484237,s,33.821261,s,71.0,°C
2024-12-11,14:48:41.732560,1733924921.73256,s,34.069584,s,71.0,°C
2024-12-11,14:48:41.985280,1733924921.98528,s,34.322304,s,71.0,°C
2024-12-11,14:48:42.233702,1733924922.233702,s,34.570726,s,71.0,°C
2024-12-11,14:48:42.486241,1733924922.486241,s,34.823265,s,71.0,°C
2024-12-11,14:48:42.734848,1733924922.734848,s,35.071872,s,71.0,°C
2024-12-11,14:48:42.987408,1733924922.987408,s,35.324432,s,71.0,°C
2024-12-11,14:48:43.235734,1733924923.235734,s,35.572758,s,71.0,°C
2024-12-11,14:48:43.488521,1733924923.488521,s,35.825545,s,71.0,°C
2024-12-11,14:48:43.736667,1733924923.736667,s,36.073691,s,71.0,°C
2024-12-11,14:48:43.989632,1733924923.989632,s,36.326656,s,71.0,°C
2024-12-11,14:48:44.237688,1733924924.237688,s,36.574712,s,71.0,°C
2024-12-11,14:48:44.490818,1733924924.490818,s,36.827842,s,71.0,°C
2024-12-11,14:48:44.738663,1733924924.738663,s,37.075687,s,71.0,°C
2024-12-11,14:48:44.991931,1733924924.991931,s,37.328955,s,71.0,°C
2024-12-11,14:48:45.239782,1733924925.239782,s,37.576806,s,71.0,°C
2024-12-11,14:48:45.493098,1733924925.493098,s,37.830122,s,71.0,°C
2024-12-11,14:48:45.740726,1733924925.740726,s,38.07775,s,71.0,°C
2024-12-11,14:48:45.994060,1733924925.99406,s,38.331084,s,71.0,°C
2024-12-11,14:48:46.241992,1733924926.241992,s,38.579016,s,71.0,°C
2024-12-11,14:48:46.495180,1733924926.49518,s,38.832204,s,71.0,°C
2024-12-11,14:48:46.743070,1733924926.74307,s,39.080094,s,71.0,°C
2024-12-11,14:48:46.996315,1733924926.996315,s,39.333339,s,71.0,°C
2024-12-11,14:48:47.244341,1733924927.244341,s,39.581365,s,71.0,°C
2024-12-11,14:48:47.497446,1733924927.497446,s,39.83447,s,71.0,°C
2024-12-11,14:48:47.745239,1733924927.745239,s,40.082263,s,71.0,°C
2024-12-11,14:48:47.998435,1733924927.998435,s,40.335459,s,71.0,°C
2024-12-11,14:48:48.246201,1733924928.246201,s,40.583225,s,71.0,°C
2024-12-11,14:48:48.499419,1733924928.499419,s,40.836443,s,71.0,°C
2024-12-11,14:48:48.747078,1733924928.747078,s,41.084102,s,71.0,°C
2024-12-11,14:48:49.000364,1733924929.000364,s,41.337388,s,71.0,°C
2024-12-11,14:48:49.248205,1733924929.248205,s,41.585229,s,71.0,°C
2024-12-11,14:48:49.501490,1733924929.50149,s,41.838514,s,71.0,°C
2024-12-11,14:48:49.748960,1733924929.74896,s,42.085984,s,71.0,°C
2024-12-11,14:48:50.002545,1733924930.002545,s,42.339569,s,71.0,°C
2024-12-11,14:48:50.249395,1733924930.249395,s,42.586419,s,71.0,°C
2024-12-11,14:48:50.503635,1733924930.503635,s,42.840659,s,71.0,°C
2024-12-11,14:48:50.750408,1733924930.750408,s,43.087432,s,71.0,°C
2024-12-11,14:48:51.005077,1733924931.005077,s,43.342101,s,71.0,°C
2024-12-11,14:48:51.251507,1733924931.251507,s,43.588531,s,71.0,°C
